012309 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
012309 P- -------- ἐπὶ ἐπὶ ἐπί ἐπί
012309 RA ----GSF- τῆς τῆς τῆς ὁ
012309 N- ----GSF- γῆς, γῆς γῆς γῆ
012309 A- ----NSM- εἷς εἷς εἷς εἷς
012309 C- -------- γάρ γάρ γάρ γάρ
012309 V- 3PAI-S-- ἐστιν ἐστιν ἐστί(ν) εἰμί
012309 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
012309 RA ----NSM- ὁ ὁ ὁ ὁ
012309 N- ----NSM- πατὴρ πατὴρ πατήρ πατήρ
012309 RA ----NSM- ὁ ὁ ὁ ὁ
012309 A- ----NSM- οὐράνιος· οὐράνιος οὐράνιος οὐράνιος
012310 C- -------- μηδὲ μηδὲ μηδέ μηδέ
012310 V- 2APS-P-- κληθῆτε κληθῆτε κληθῆτε καλέω
012310 N- ----NPM- καθηγηταί, καθηγηταί καθηγηταί καθηγητής
012310 C- -------- ὅτι ὅτι ὅτι ὅτι
012310 N- ----NSM- καθηγητὴς καθηγητὴς καθηγητής καθηγητής
012310 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
012310 V- 3PAI-S-- ἐστιν ἐστιν ἐστί(ν) εἰμί
012310 A- ----NSM- εἷς εἷς εἷς εἷς
012310 RA ----NSM- ὁ ὁ ὁ ὁ
012310 N- ----NSM- χριστός· χριστός Χριστός Χριστός
012311 RA ----NSM- ὁ ὁ ὁ ὁ
012311 C- -------- δὲ δὲ δέ δέ
012311 A- ----NSMC μείζων μείζων μείζων μέγας
012311 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
012311 V- 3FMI-S-- ἔσται ἔσται ἔσται εἰμί
012311 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
012311 N- ----NSM- διάκονος. διάκονος διάκονος διάκονος
012312 RR ----NSM- ὅστις ὅστις ὅστις ὅστις
012312 C- -------- δὲ δὲ δέ δέ
012312 V- 3FAI-S-- ὑψώσει ὑψώσει ὑψώσει ὑψόω
012312 RP ----ASM- ἑαυτὸν ἑαυτὸν ἑαυτόν ἑαυτοῦ
012312 V- 3FPI-S-- ταπεινωθήσεται, ταπεινωθήσεται ταπεινωθήσεται ταπεινόω
012312 C- -------- καὶ καὶ καί καί
012312 RR ----NSM- ὅστις ὅστις ὅστις ὅστις
012312 V- 3FAI-S-- ταπεινώσει ταπεινώσει ταπεινώσει ταπεινόω
