031310 V- -PAPNSM- διδάσκων διδάσκων διδάσκων διδάσκω
031310 P- -------- ἐν ἐν ἐν ἐν
031310 A- ----DSF- μιᾷ μιᾷ μιᾷ εἷς
031310 RA ----GPF- τῶν τῶν τῶν ὁ
031310 N- ----GPF- συναγωγῶν συναγωγῶν συναγωγῶν συναγωγή
031310 P- -------- ἐν ἐν ἐν ἐν
031310 RA ----DPN- τοῖς τοῖς τοῖς ὁ
031310 N- ----DPN- σάββασιν. σάββασιν σάββασι(ν) σάββατον
031311 C- -------- καὶ καὶ καί καί
031311 X- -------- ἰδοὺ ἰδοὺ ἰδού ἰδού
031311 N- ----NSF- ⸀γυνὴ γυνὴ γυνή γυνή
031311 N- ----ASN- πνεῦμα πνεῦμα πνεῦμα πνεῦμα
031311 V- -PAPNSF- ἔχουσα ἔχουσα ἔχουσα ἔχω
031311 N- ----GSF- ἀσθενείας ἀσθενείας ἀσθενείας ἀσθένεια
031311 N- ----APN- ἔτη ἔτη ἔτη ἔτος
031311 A- ----APN- ⸀δεκαοκτώ, δεκαοκτώ δεκαοκτώ δεκαοκτώ
031311 C- -------- καὶ καὶ καί καί
031311 V- 3IAI-S-- ἦν ἦν ἦν εἰμί
031311 V- -PAPNSF- συγκύπτουσα συγκύπτουσα συγκύπτουσα συγκύπτω
031311 C- -------- καὶ καὶ καί καί
031311 D- -------- μὴ μὴ μή μή
031311 V- -PMPNSF- δυναμένη δυναμένη δυναμένη δύναμαι
031311 V- -AAN---- ἀνακύψαι ἀνακύψαι ἀνακύψαι ἀνακύπτω
031311 P- -------- εἰς εἰς εἰς εἰς
031311 RA ----ASN- τὸ τὸ τό ὁ
031311 A- ----ASN- παντελές. παντελές παντελές παντελής
031312 V- -AAPNSM- ἰδὼν ἰδὼν ἰδών ὁράω
031312 C- -------- δὲ δὲ δέ δέ
031312 RP ----ASF- αὐτὴν αὐτὴν αὐτήν ἑαυτοῦ
031312 RA ----NSM- ὁ ὁ ὁ ὁ
031312 N- ----NSM- Ἰησοῦς Ἰησοῦς Ἰησοῦς Ἰησοῦς
031312 V- 3AAI-S-- προσεφώνησεν προσεφώνησεν προσεφώνησε(ν) προσφωνέω
031312 C- -------- καὶ καὶ καί καί
031312 V- 3AAI-S-- εἶπεν εἶπεν εἶπε(ν) λέγω
031312 RP ----DSF- αὐτῇ· αὐτῇ αὐτῇ αὐτός
031312 N- ----VSF- Γύναι, Γύναι γύναι γυνή
031312 V- 2XPI-S-- ἀπολέλυσαι ἀπολέλυσαι ἀπολέλυσαι ἀπολύω
031312 RA ----GSF- τῆς τῆς τῆς ὁ
031312 N- ----GSF- ἀσθενείας ἀσθενείας ἀσθενείας ἀσθένεια
031312 RP ----GS-- σου, σου σου σύ
031313 C- -------- καὶ καὶ καί καί
031313 V- 3AAI-S-- ἐπέθηκεν ἐπέθηκεν ἐπέθηκε(ν) ἐπιτίθημι
031313 RP ----DSF- αὐτῇ αὐτῇ αὐτῇ αὐτός
031313 RA ----APF- τὰς τὰς τάς ὁ
031313 N- ----APF- χεῖρας· χεῖρας χεῖρας χείρ
031313 C- -------- καὶ καὶ καί καί
031313 D- -------- παραχρῆμα παραχρῆμα παραχρῆμα παραχρῆμα
031313 V- 3API-S-- ἀνωρθώθη, ἀνωρθώθη ἀνωρθώθη ἀνορθόω
031313 C- -------- καὶ καὶ καί καί
031313 V- 3IAI-S-- ἐδόξαζεν ἐδόξαζεν ἐδόξαζε(ν) δοξάζω
031313 RA ----ASM- τὸν τὸν τόν ὁ
031313 N- ----ASM- θεόν. θεόν θεόν θεός
031314 V- -APPNSM- ἀποκριθεὶς ἀποκριθεὶς ἀποκριθείς ἀποκρίνομαι
031314 C- -------- δὲ δὲ δέ δέ
031314 RA ----NSM- ὁ ὁ ὁ ὁ
031314 N- ----NSM- ἀρχισυνάγωγος, ἀρχισυνάγωγος ἀρχισυνάγωγος ἀρχισυνάγωγος
031314 V- -PAPNSM- ἀγανακτῶν ἀγανακτῶν ἀγανακτῶν ἀγανακτέω
031314 C- -------- ὅτι ὅτι ὅτι ὅτι
031314 RA ----DSN- τῷ τῷ τῷ ὁ
031314 N- ----DSN- σαββάτῳ σαββάτῳ σαββάτῳ σάββατον
031314 V- 3AAI-S-- ἐθεράπευσεν ἐθεράπευσεν ἐθεράπευσε(ν) θεραπεύω
031314 RA ----NSM- ὁ ὁ ὁ ὁ
031314 N- ----NSM- Ἰησοῦς, Ἰησοῦς Ἰησοῦς Ἰησοῦς
031314 V- 3IAI-S-- ἔλεγεν ἔλεγεν ἔλεγε(ν) λέγω
031314 RA ----DSM- τῷ τῷ τῷ ὁ
031314 N- ----DSM- ὄχλῳ ὄχλῳ ὄχλῳ ὄχλος
031314 C- -------- ⸀ὅτι ὅτι ὅτι ὅτι
031314 A- ----NPF- Ἓξ Ἓξ ἕξ ἕξ
031314 N- ----NPF- ἡμέραι ἡμέραι ἡμέραι ἡμέρα
031314 V- 3PAI-P-- εἰσὶν εἰσὶν εἰσί(ν) εἰμί
031314 P- -------- ἐν ἐν ἐν ἐν
031314 RR ----DPF- αἷς αἷς αἷς ὅς
031314 V- 3PAI-S-- δεῖ δεῖ δεῖ δέω
031314 V- -PMN---- ἐργάζεσθαι· ἐργάζεσθαι ἐργάζεσθαι ἐργάζομαι
031314 P- -------- ἐν ἐν ἐν ἐν
031314 RP ----DPF- ⸀αὐταῖς αὐταῖς αὐταῖς αὐτός
031314 C- -------- οὖν οὖν οὖν οὖν
031314 V- -PMPNPM- ἐρχόμενοι ἐρχόμενοι ἐρχόμενοι ἔρχομαι
031314 V- 2PPD-P-- θεραπεύεσθε θεραπεύεσθε θεραπεύεσθε θεραπεύω
031314 C- -------- καὶ καὶ καί καί
031314 D- -------- μὴ μὴ μή μή
031314 RA ----DSF- τῇ τῇ τῇ ὁ
031314 N- ----DSF- ἡμέρᾳ ἡμέρᾳ ἡμέρᾳ ἡμέρα
031314 RA ----GSN- τοῦ τοῦ τοῦ ὁ
031314 N- ----GSN- σαββάτου. σαββάτου σαββάτου σάββατον
031315 V- 3API-S-- ἀπεκρίθη ἀπεκρίθη ἀπεκρίθη ἀποκρίνομαι
031315 C- -------- ⸀δὲ δὲ δέ δέ
031315 RP ----DSM- αὐτῷ αὐτῷ αὐτῷ αὐτός
031315 RA ----NSM- ὁ ὁ ὁ ὁ
031315 N- ----NSM- κύριος κύριος κύριος κύριος
031315 C- -------- καὶ καὶ καί καί
031315 V- 3AAI-S-- εἶπεν· εἶπεν εἶπε(ν) λέγω
031315 N- ----VPM- Ὑποκριταί, Ὑποκριταί ὑποκριταί ὑποκριτής
031315 A- ----NSM- ἕκαστος ἕκαστος ἕκαστος ἕκαστος
031315 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
